Zeitstempel,Welche der folgenden Entwicklungsumgebungen hast du im letzten Jahr benutzt?,Welche der folgenden Entwicklungsumgebungen hast du am Anfang deines Studiums (1./2. Semester) genutzt?,Welche IDE nutzt du am meisten?,Welche IDE findest du am besten?,Warum findest du diese IDE am besten?,Welchen konsolenbasierten Editor nutzt du am meisten?,Welchen konsolenbasierten Editor findest du am besten?,Warum findest du diesen Editor am besten?,Welchen Editor mit GUI nutzt du am meisten?,Welchen Editor mit GUI findest du am besten?,Warum findest du diesen Editor mit GUI am besten?,Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [IntelliJ],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Eclipse],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Xcode],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Vim],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Atom],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Microsoft Visual Studio],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Netbeans],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [PyCharm],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Code::Blocks],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Sublime],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Gedit],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [IntelliJ],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Eclipse],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Xcode],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Vim],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Atom],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Microsoft Visual Studio],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Netbeans],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [PyCharm],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Code::Blocks],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Sublime],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Gedit],"Was sind Features, die dir in einer Entwicklungsumgebung am wichtigsten sind?"
29.05.2019 20:32:43,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,Eine Mischung aus Gewohnheit und dem sauberen Design,Keinen,Keinen,"Ich benutze konsolenbasierte Editoren zu wenig, um eine Meinung dazu zu haben.",Notepad++,Notepad++,"Gewohnheit, momentan am ""Umsteigen"" auf Visual Studio Code",Sehr gut,Gut,,Mittelmäßig,Mittelmäßig,Gut,Gut,Gut,,,Gut,Java/Kotlin,,,,,,,,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
29.05.2019 20:36:55,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Unterstützung bei der Entwicklung z.B. auto complete/ import , refactoring ...",Vim,Vim,Kein spezieller Grund,Gedit,Gedit,Standardmäßig Syntax highlighting für die meisten Sprachen,Sehr gut,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,"Java/Kotlin, JavaScript",Java/Kotlin,,,,JavaScript,Java/Kotlin,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
30.05.2019 19:45:48,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Nicht überladen, intuitive Benutzun",Vim,Vim,,Visual Studio Code,Visual Studio Code,,Gut,Schlecht,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,"C/C++, Java/Kotlin",Java/Kotlin,,C/C++,,JavaScript,,,,JavaScript,,"Codevervollständigung, Codegenerierung, Geringer Verbrauch (Speicher, Leistung, etc.)"
30.05.2019 20:46:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,Keine Erfahrung mit anderen IDEs,Micro,Nano,,Notepad++,Notepad++,Hat alles was man brauch.,,Mittelmäßig,,,,,,,,,,,Java/Kotlin,,,,,,,,,,Debugger
31.05.2019 13:07:17,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,IntelliJ,,Vim,Vim,,Sublime,Keinen,,Mittelmäßig,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,Sehr gut,Mittelmäßig,,,,"C/C++, Bash/Konsolen-Scripts",,,,,C/C++,,,Debugger
31.05.2019 13:07:39,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Nano,,Notepad++,Notepad++,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Schlecht,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,"Java/Kotlin, JavaScript",Java/Kotlin,,,,JavaScript,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:09:40,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Atom mit IDE-Plugins,Einfach und übersichtlich mit angepassten Erweiterungen bei Bedarf,Vi,Nano,Einfache Bedienung ,Atom,Atom,Siehe oben,Mittelmäßig,Mittelmäßig,Schlecht,,Gut,Sehr schlecht,Mittelmäßig,Gut,Nicht einschätzbar,Mittelmäßig,Sehr schlecht,Java/Kotlin,Java/Kotlin,,,"Java/Kotlin, Python",C#,Java/Kotlin,,,Python,,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:09:41,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Sublime,Sublime,,Sehr gut,Schlecht,Sehr schlecht,Gut,Mittelmäßig,Mittelmäßig,Schlecht,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,"Java/Kotlin, JavaScript, Python, Bash/Konsolen-Scripts",,,"C/C++, JavaScript, Python, Bash/Konsolen-Scripts",,,,,,"C/C++, JavaScript, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:10:38,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,"Man muss einmal lernen damit umzugehen, aber ab dann kann man sehr schnell sehr geschickt Dateien bearbeiten. ",Gedit,Notepad++,Er zeigt im Gegensatz zu gedit direkt die Zeilennummern an. Und alle anderen hab ich noch nicht getestet.,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,,,"C/C++, Python",,,,,,,,Syntax-Highlighting
31.05.2019 13:10:49,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Sie vereint eine Menge an Möglichkeiten wie Java, Phython, ... programmierung, aber auch solche Sachen wie LaTex",Keinen,Keinen,,Visual Studio Code,Visual Studio Code,S.o.,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,,,,"Java/Kotlin, Python",,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
